index,noise_type,snr_db,original_index
0,gaussian,-30,6744
1,burst,-10,39251
2,sp,-10,31917
3,gaussian,-30,26167
4,sp,-15,42362
5,sp,-20,27516
6,sp,-20,5246
7,burst,-10,4160
8,sp,-30,28808
9,gaussian,-15,33308
10,burst,-30,36728
11,burst,-30,5849
12,sp,-15,27040
13,burst,-20,43772
14,gaussian,-20,14228
15,gaussian,-15,10578
16,sp,-25,36820
17,sp,-10,27690
18,burst,-15,41587
19,gaussian,-25,47181
20,burst,-20,833
21,burst,-25,25681
22,gaussian,-20,10603
23,burst,-15,5716
24,sp,-10,37174
25,gaussian,-30,45778
26,burst,-20,42912
27,gaussian,-10,49940
28,gaussian,-10,42556
29,sp,-20,37040
30,gaussian,-30,8505
31,sp,-25,18637
32,burst,-15,9729
33,sp,-20,8841
34,gaussian,-15,37578
35,sp,-20,1719
36,gaussian,-30,30097
37,burst,-20,24909
38,burst,-30,34749
39,gaussian,-15,28560
40,burst,-25,42380
41,burst,-20,42488
42,gaussian,-10,8594
43,sp,-30,17089
44,burst,-15,39856
45,burst,-30,16360
46,gaussian,-20,45027
47,gaussian,-15,14625
48,burst,-15,9445
49,burst,-10,16044
50,sp,-25,46431
51,burst,-20,13456
52,burst,-10,46166
53,gaussian,-15,12185
54,burst,-15,7909
55,gaussian,-30,3002
56,sp,-25,35266
57,sp,-20,42157
58,gaussian,-30,38477
59,gaussian,-30,25940
60,gaussian,-10,44089
61,burst,-25,40999
62,sp,-30,31636
63,burst,-15,239
64,burst,-25,49496
65,gaussian,-20,48487
66,gaussian,-30,30989
67,burst,-10,7443
68,sp,-15,3197
69,sp,-25,23712
70,burst,-20,29955
71,sp,-20,30765
72,burst,-10,27226
73,sp,-25,13398
74,gaussian,-15,25779
75,burst,-10,21861
76,sp,-25,30360
77,sp,-20,4866
78,burst,-30,5304
79,burst,-15,47010
80,gaussian,-30,19392
81,gaussian,-20,2406
82,sp,-15,37250
83,burst,-10,34369
84,burst,-10,5425
85,burst,-30,46769
86,gaussian,-10,25275
87,sp,-20,15966
88,gaussian,-10,6800
89,burst,-15,46717
90,gaussian,-10,26587
91,burst,-15,24555
92,burst,-10,11019
93,sp,-20,46115
94,sp,-10,197
95,burst,-10,25496
96,sp,-10,19932
97,sp,-20,41503
98,burst,-15,27846
99,sp,-25,46104
100,gaussian,-15,11415
101,gaussian,-25,29468
